facId,year,economicNoncooperation,protestDemonstration,nonviolentIntervention,socialNoncooperation,institutionalAction,politicalNoncooperation
105003,2020,0,0,0,0,0,0
105004,1980,0,0,0,0,0,0
105004,1981,0,1,0,0,0,0
105004,1982,0,0,0,0,0,0
105004,1983,0,0,0,0,0,0
105004,1984,0,0,0,0,0,0
105004,1985,0,0,0,0,0,0
105004,1986,0,0,0,0,0,0
105004,1987,0,0,0,0,0,1
105004,1988,0,0,0,0,0,0
105004,1989,0,0,0,0,0,0
105004,1990,0,0,0,0,0,0
105004,1991,0,0,0,0,0,0
105004,1992,0,0,0,0,0,0
105004,1993,0,0,0,0,0,0
105004,1994,0,0,0,0,0,0
105004,1995,0,0,0,0,0,0
105004,1996,0,0,0,0,0,0
105004,1997,0,0,0,0,0,0
105004,1998,0,0,0,0,0,0
105004,1999,0,0,0,0,0,0
105004,2000,0,0,0,0,0,0
105004,2001,0,0,0,0,0,0
105004,2002,0,0,0,0,0,0
105004,2003,0,0,0,0,0,0
105004,2004,0,0,0,0,0,0
105004,2005,0,0,0,0,0,0
105004,2006,0,0,0,0,0,0
105004,2007,0,0,0,0,0,0
105004,2008,0,0,0,0,0,0
105004,2009,0,0,0,0,0,0
105004,2010,0,0,0,0,0,0
105004,2011,0,0,0,0,0,0
105004,2012,0,1,0,0,0,0
105004,2013,0,0,0,0,0,0
105004,2014,0,1,0,0,0,0
105004,2015,0,0,0,0,0,0
105004,2016,0,0,0,0,0,0
105004,2017,0,0,0,0,0,0
105004,2018,0,0,0,0,0,0
105004,2019,0,0,0,0,0,0
105004,2020,0,0,0,0,0,0
105005,1977,0,0,0,0,0,0
105005,1978,0,0,0,0,0,0
105005,1979,0,0,0,0,0,0
105005,1980,0,0,0,0,0,0
105005,1981,0,0,0,0,0,0
105005,1982,0,0,0,0,0,0
105005,1983,0,0,0,0,0,0
105005,1984,0,0,0,0,0,0
105005,1985,0,0,0,0,0,0
105005,1986,0,0,0,0,0,0
105005,1987,0,0,0,0,0,0
105005,1988,0,0,0,0,0,0
105005,1989,0,0,0,0,0,0
105005,1990,0,0,0,0,0,0
105005,1991,0,0,0,0,0,0
105005,1992,0,0,0,0,0,0
105005,1993,0,0,0,0,0,0
105005,1994,0,0,0,0,0,0
105005,1995,0,0,0,0,0,0
105005,1996,0,0,0,0,0,0
105005,1997,0,1,1,0,0,0
105005,1998,0,0,0,0,0,0
105005,1999,0,0,0,0,0,0
105005,2000,0,0,0,0,0,0
105005,2001,0,0,0,0,0,0
105005,2002,0,0,0,0,0,0
105005,2003,0,0,0,0,0,0
105005,2004,0,0,0,0,0,0
105005,2005,0,0,0,0,0,0
105005,2006,0,0,0,0,0,0
105005,2007,0,0,0,0,0,0
105005,2008,0,0,0,0,0,0
105005,2009,0,0,0,0,0,0
105005,2010,0,0,0,0,0,0
105005,2011,0,0,0,0,0,0
105005,2012,0,0,0,0,0,0
105005,2013,0,0,0,0,0,0
105005,2014,0,0,0,0,0,0
105005,2015,0,0,0,0,0,0
105005,2016,0,0,0,0,0,0
105005,2017,0,0,0,0,0,0
105005,2018,0,0,0,0,0,0
105005,2019,0,0,0,0,0,0
105005,2020,0,0,0,0,0,0
105006,1983,0,0,0,0,0,0
105006,1984,0,0,0,0,0,0
105006,1985,0,0,0,0,0,0
105006,1986,0,0,0,0,0,0
105006,1987,0,0,0,0,0,0
105006,1988,0,0,0,0,0,0
105006,1989,0,0,0,0,0,0
105006,1990,0,0,0,0,0,0
105006,1991,0,0,0,0,0,0
105006,1992,0,0,0,0,0,0
105006,1993,0,0,0,0,0,0
105006,1994,0,0,0,0,0,0
105006,1995,0,0,0,0,0,0
105006,1996,0,0,0,0,0,0
105006,1997,0,0,0,0,0,0
105006,1998,0,0,0,0,0,0
105006,1999,0,0,0,0,0,0
105006,2000,0,0,0,0,0,0
105006,2001,0,0,0,0,0,0
105006,2002,0,0,0,0,0,0
105006,2003,0,0,0,0,0,0
105006,2004,0,0,0,0,0,0
105006,2005,0,0,0,0,0,0
105006,2006,0,0,0,0,0,0
105006,2007,0,0,0,0,0,0
105006,2008,0,0,0,0,0,0
105006,2009,0,0,0,0,0,0
105006,2010,0,0,0,0,0,0
105006,2011,0,0,0,0,0,0
105006,2012,0,0,0,0,0,0
105006,2013,0,0,0,0,0,0
105006,2014,0,0,0,0,0,0
105006,2015,0,1,0,0,0,0
105006,2016,0,0,0,0,0,0
105006,2017,0,0,0,0,0,1
